country,steps_gini,obesity_mean,age_cat
Brazil,0.299107464919,0.177884615385,"Age [50, 100)"
Canada,0.321808137129,0.287997159091,"Age [50, 100)"
Chile,0.256058039776,0.224489795918,"Age [50, 100)"
China,0.267512839828,0.0659722222222,"Age [50, 100)"
Czech Republic,0.250694015935,0.21875,"Age [50, 100)"
Denmark,0.298955770579,0.175548589342,"Age [50, 100)"
Egypt,0.34996357188,0.325581395349,"Age [50, 100)"
Finland,0.2822717542,0.0808080808081,"Age [50, 100)"
France,0.296562206387,0.166666666667,"Age [50, 100)"
Germany,0.301222534102,0.207472959685,"Age [50, 100)"
Greece,0.276411690671,0.227272727273,"Age [50, 100)"
Hong Kong,0.242776312711,0.0604982206406,"Age [50, 100)"
Hungary,0.268480129679,0.348837209302,"Age [50, 100)"
India,0.325862055696,0.206157965194,"Age [50, 100)"
Indonesia,0.319324912525,0.136842105263,"Age [50, 100)"
Ireland,0.284355283446,0.230434782609,"Age [50, 100)"
Israel,0.277225055734,0.236111111111,"Age [50, 100)"
Italy,0.263277929796,0.152830188679,"Age [50, 100)"
Japan,0.272316022843,0.046439628483,"Age [50, 100)"
Malaysia,0.281241973696,0.130769230769,"Age [50, 100)"
Mexico,0.300165133874,0.21325648415,"Age [50, 100)"
Netherlands,0.279053612217,0.160390516039,"Age [50, 100)"
New Zealand,0.315077644578,0.289655172414,"Age [50, 100)"
Norway,0.282164722639,0.196875,"Age [50, 100)"
Philippines,0.268240389489,0.170542635659,"Age [50, 100)"
Poland,0.266904423567,0.214285714286,"Age [50, 100)"
Portugal,0.267304135185,0.168539325843,"Age [50, 100)"
Qatar,0.292142457574,0.448275862069,"Age [50, 100)"
Romania,0.296692010059,0.288461538462,"Age [50, 100)"
Russia,0.309464389206,0.316326530612,"Age [50, 100)"
Saudi Arabia,0.313061335339,0.300699300699,"Age [50, 100)"
Singapore,0.274001490862,0.086387434555,"Age [50, 100)"
South Africa,0.280342912297,0.356,"Age [50, 100)"
South Korea,0.268767715279,0.0631578947368,"Age [50, 100)"
Spain,0.281330086803,0.195219123506,"Age [50, 100)"
Sweden,0.256029030539,0.157170923379,"Age [50, 100)"
Switzerland,0.307725517551,0.130612244898,"Age [50, 100)"
Taiwan,0.290887612184,0.0596330275229,"Age [50, 100)"
Thailand,0.298764419154,0.110091743119,"Age [50, 100)"
Turkey,0.28491693833,0.268041237113,"Age [50, 100)"
Ukraine,0.277133630771,0.2,"Age [50, 100)"
United Arab Emirates,0.290873755826,0.24,"Age [50, 100)"
United Kingdom,0.313771523258,0.267201556042,"Age [50, 100)"
United States,0.330002666823,0.332368268674,"Age [50, 100)"
